neighborhood,regular,luxurious
Yerba Buena,2.4667235001893539,3.4083718674536447
Hayes Valley,2.3246477739775253,2.6348454803187114
South Beach,2.3139477755042361,2.6625636237456201
Nob Hill,2.1989173912574453,0.0
Pacific Heights,1.8890327628305159,0.0
Noe Valley,1.8289413903037017,0.0
Potrero Hill,1.7553581705790933,0.0
Visitacion Valley,-0.12587411917189728,0.0
Buena Vista Park/Ashbury Heights,1.2785513036129195,0.0
South of Market,2.3972516104343278,2.4331283769830625
Eureka Valley / Dolores Heights,2.3822249776104778,0.0
Mission Bay,2.9828168481034769,0.0
Lower Pacific Heights,2.4537768639055031,0.0
Western Addition,1.7397421842087499,0.0
Central Waterfront/Dogpatch,1.8351390937929568,0.0
Lone Mountain,1.578921328770087,0.0
Inner Mission,2.3141366352873129,2.2548411356534279
Duboce Triangle,1.7411611390796562,3.4314882204121826
Bernal Heights,1.3366774961466843,0.0
Marina,2.3041082761613261,0.0
Central Richmond,1.1949334611654086,0.0
Telegraph Hill,3.7078526464550268,0.0
Diamond Heights,0.80117324821080127,0.0
Van Ness/Civic Center,2.1112969866683549,1.4679877920001325
Alamo Square,2.2898403295424412,0.0
North Waterfront,2.3374903157516789,0.0
Downtown,1.6304991626728322,0.47135914569873738
Silver Terrace,0.90423347951031952,0.0
Russian Hill,2.5045571319577489,2.1160387442601696
North Panhandle,1.4807125058002777,0.0
Glen Park,1.0150567532359718,0.0
Bayview,1.0285380242216355,0.0
Mission Dolores,2.6727322297857006,0.0
Excelsior,0.16988118678099617,0.0
Golden Gate Heights,0.80091238394925224,0.0
North Beach,2.2616912907100626,0.0
Portola,0.62613267920160998,0.0
Westwood Park,0.52165384393409653,0.0
Cole Valley/Parnassus Heights,1.4228843404565361,0.0
Outer Richmond,1.0163750732701466,0.0
Ingleside,0.571772976215843,0.0
Bayview Heights,-0.32613889678202884,0.0
Midtown Terrace,-0.073878484374971118,0.0
Pine Lake Park,0.91320481906652429,0.0
Lake Shore,0.91339032086283289,0.0
Inner Sunset,1.4668937286591937,0.0
Ingleside Heights,0.44501913113407565,0.0
Miraloma Park,0.34865792317872379,0.0
West Portal,1.1756653511805135,0.0
Parkside,0.42851288492624762,0.0
Outer Parkside,1.1686330685646975,0.0
Financial District/Barbary Coast,2.9465687639079396,1.7869945236167162
Central Sunset,0.71106269325611893,0.0
Inner Richmond,1.1341884107907516,0.0
Sherwood Forest,0.19147421470443737,0.0
Candlestick Point,0.14277835938130334,0.0
Anza Vista,1.2725469862963936,0.0
Ingleside Terrace,1.5272758261987105,0.0
Tenderloin,2.6689646594022194,0.0
Haight Ashbury,1.1653170008367821,0.0
Forest Hills Extension,0.5584666500200155,0.0
Inner Parkside,0.73829701522847435,0.0
Sunnyside,1.154217026878412,0.0
Outer Sunset,1.1999735797232285,0.0
Mission Terrace,0.94504081821718067,0.0
Merced Manor,1.1389298564763424,0.0
Oceanview,0.41035899395440212,0.0
Stonestown,1.0748004921633629,0.0
Westwood Highlands,0.29158526769598747,0.0
Corona Heights,1.8269507773033256,0.0
Golden Gate Park,1.6053858322620322,0.0
Forest Hill,0.66921574444293697,0.0
Twin Peaks,1.0456723003819461,0.0
Outer Mission,0.39125264118482822,0.0
Merced Heights,0.38287832372695618,0.0
Jordan Park / Laurel Heights,1.8479089173660794,0.0
Lake Street,1.3427004922603247,0.0
Cow Hollow,1.9142944398542663,0.0
Presidio Heights,1.9941171517401772,0.0
Crocker Amazon,0.16262208787126808,0.0
Presidio,1.569509547047649,0.0
Lakeside,0.80612013231629742,0.0
