neighborhood,regular,luxurious
Yerba Buena,2.4657459660360539,3.4073911745615231
Hayes Valley,2.323615097586941,2.6334799605670942
South Beach,2.3247403557212127,2.6609052189372835
Nob Hill,2.1985244356516205,0.0
Pacific Heights,1.895408923639462,0.0
Noe Valley,1.8286090332454235,0.0
Potrero Hill,1.7545932514621381,0.0
Visitacion Valley,-0.12692945545540082,0.0
Buena Vista Park/Ashbury Heights,1.2798740344866451,0.0
South of Market,2.3959054305685945,2.4322583586565782
Eureka Valley / Dolores Heights,2.3816191661149038,0.0
Mission Bay,2.9813055804529927,0.0
Lower Pacific Heights,2.452774278349803,0.0
Western Addition,1.7389265862361123,0.0
Central Waterfront/Dogpatch,1.8336369124073209,0.0
Lone Mountain,1.5782372976453065,0.0
Inner Mission,2.3126300044099777,2.2533550490472334
Duboce Triangle,1.7407179117207312,3.4313196743840608
Bernal Heights,1.3353413080085632,0.0
Marina,2.3027629835029098,0.0
Central Richmond,1.1937376233164207,0.0
Telegraph Hill,3.7075542907274226,0.0
Diamond Heights,0.80209253594023322,0.0
Van Ness/Civic Center,2.1106361702872509,1.4666737862389492
Alamo Square,2.2890916042336524,0.0
North Waterfront,3.7658532291747182,0.0
Downtown,1.6297952055580021,0.47159637660546688
Silver Terrace,0.90000489580977827,0.0
Russian Hill,2.5037856536609029,2.1157374528380792
North Panhandle,1.4806895003492782,0.0
Glen Park,1.0144017403992502,0.0
Bayview,1.0263683108512738,0.0
Mission Dolores,2.6714107426477041,0.0
Excelsior,0.16922842237774163,0.0
Golden Gate Heights,0.80169090828569622,0.0
North Beach,2.2603290596942176,0.0
Portola,0.62462023185642479,0.0
Westwood Park,0.52118173935891232,0.0
Cole Valley/Parnassus Heights,1.4225150336154464,0.0
Outer Richmond,1.0150815562058115,0.0
Ingleside,0.57169217702797104,0.0
Bayview Heights,-0.32732348490726876,0.0
Midtown Terrace,-0.0731146242117683,0.0
Pine Lake Park,0.91155841217980815,0.0
Lake Shore,0.91173568759228552,0.0
Inner Sunset,1.4663164583591601,0.0
Ingleside Heights,0.44515437217214116,0.0
Miraloma Park,0.34950960286644489,0.0
West Portal,1.1751515477104848,0.0
Parkside,0.42845730897520928,0.0
Outer Parkside,1.1663746475496204,0.0
Financial District/Barbary Coast,2.9453722604970172,1.7873929881188055
Central Sunset,0.71015501701013917,0.0
Inner Richmond,1.133357109861967,0.0
Sherwood Forest,0.19203431635714049,0.0
Candlestick Point,0.14233002338064252,0.0
Anza Vista,1.2728129580767846,0.0
Ingleside Terrace,1.5287211324638819,0.0
Tenderloin,2.6713982586567306,0.0
Haight Ashbury,1.1653084628969088,0.0
Forest Hills Extension,0.55878516624804286,0.0
Inner Parkside,0.73811763842478362,0.0
Sunnyside,1.1546644512154722,0.0
Outer Sunset,1.1979841770877286,0.0
Mission Terrace,0.94384597392888803,0.0
Merced Manor,1.1384971928749827,0.0
Oceanview,0.41062350653930624,0.0
Stonestown,1.0735173722317517,0.0
Westwood Highlands,0.29165611714069056,0.0
Corona Heights,1.8263048967927591,0.0
Golden Gate Park,1.6045022767632156,0.0
Forest Hill,0.67012947289821867,0.0
Twin Peaks,1.0461843692745587,0.0
Outer Mission,0.39027690568485074,0.0
Merced Heights,0.38196777474583105,0.0
Jordan Park / Laurel Heights,1.8466238126181076,0.0
Lake Street,1.3413534459808962,0.0
Cow Hollow,1.9130138625748276,0.0
Presidio Heights,1.9928229504334669,0.0
Crocker Amazon,0.16093719376684942,0.0
Presidio,1.5668036822323794,0.0
Lakeside,0.80468647249038905,0.0
