Effect,Coefficient
base_rent,0
bedrooms,345.24540403823789
bathrooms,413.96644537513697
elevation,3.7670654141654238
level,28.911968381924421
age,5.855686729724412
garage,0
mean square error of residuals,435926.94498858391
