Effect,Coefficient
base_rent,0
bedrooms,289.3121803657213
bathrooms,380.67925233061987
elevation,1.7726616581183168
level,33.2297140551699
age,3.7273358205728924
garage,0
mean square error of residuals,302789.99292260775
