Effect,Coefficient
base_rent,0
bedrooms,393.09896449369597
bathrooms,575.34945537639055
elevation,9.561548895539012
level,22.560109560542646
age,5.7192766574514966
garage,621.41300477279265
mean square error of residuals,679397.91186606581
