Effect,Coefficient
base_rent,0
bedrooms,-160.23791518615249
bathrooms,97.312035150388638
elevation,1.0254552253547589
level,1.9449509778288268
age,-2.4114788536631719
garage,0
mean square error of residuals,204136.45902776101
