neighborhood,regular,luxury
Alamo Square,0.0,0.0
Anza Vista,0.69854752758784644,0.0
Bayview,-0.9191507346017691,0.0
Bayview,-0.9191507346017691,0.0
Bayview Heights,-0.9191507346017691,0.0
Bernal Heights,0.35508539889517049,0.0
Buena Vista Park/Ashbury Heights,0.11137561397420377,0.0
Candlestick Point,0.0,0.0
Central Richmond,0.59466065529379253,0.0
Central Sunset,-0.015820004229047297,0.0
Central Waterfront/Dogpatch,0.98642132363959079,0.0
Cole Valley/Parnassus Heights,0.0,0.0
Corona Heights,0.73833578523554044,0.0
Cow Hollow,1.3312626461907475,0.0
Diamond Heights,0.29750732859574447,0.0
Downtown,0.0,1.7424951693212742
Duboce Triangle,0.86689600448765325,0.8671887929848171
Eureka Valley / Dolores Heights,1.6025540688176436,0.0
Excelsior,-0.9318226269674118,0.0
Financial District/Barbary Coast,1.0885434859079632,0.0
Forest Hill,-0.64753151569228995,0.0
Forest Hill,-0.64753151569228995,0.0
Forest Hills Extension,-0.64753151569228995,0.0
Glen Park,0.57041171768391885,0.0
Golden Gate Heights,0.38795967372416917,0.0
Haight Ashbury,0.5492738670394095,0.0
Hayes Valley,1.1795801733089708,0.0
Ingleside,0.0,0.0
Ingleside,0.0,0.0
Ingleside,0.0,0.0
Ingleside Heights,0.0,0.0
Ingleside Terrace,0.0,0.0
Inner Mission,1.2709669122478569,0.0
Inner Parkside,-0.041111328175875816,0.0
Inner Richmond,0.34963138291033607,0.0
Inner Sunset,0.0,0.0
Jordan Park / Laurel Heights,0.80891539104676502,0.0
Lake Shore,-0.037270041688022247,0.0
Lake Street,0.0,0.0
Lone Mountain,0.50854803177381214,0.0
Lower Pacific Heights,1.4814282652363151,0.0
Marina,1.7633591990308086,0.0
Merced Heights,-0.50320431213469619,0.0
Merced Manor,0.31739488688560685,0.0
Midtown Terrace,-0.84438925157058053,0.0
Miraloma Park,-0.48810044498546401,0.0
Mission Bay,1.3112040175879713,0.0
Mission Dolores,1.0589414598021627,0.0
Mission Terrace,0.10834848331791964,0.0
Nob Hill,1.7749692419781913,0.0
Noe Valley,1.1065715525765047,0.0
North Beach,0.0,0.0
North Panhandle,0.46493868791232656,0.0
North Waterfront,0.0,0.0
Oceanview,0.0,0.0
Outer Mission,-1.1429834053499393,0.0
Outer Parkside,-0.14093443758015187,0.0
Outer Richmond,-0.069560081591692469,0.0
Outer Sunset,0.0,0.0
Pacific Heights,1.3389832557811785,0.0
Pacific Heights,1.3389832557811785,0.0
Parkside,-0.40368020942184307,0.0
Parkside,-0.40368020942184307,0.0
Parkside,-0.40368020942184307,0.0
Pine Lake Park,0.072822497329914262,0.0
Portola,-0.10372405137207626,0.0
Potrero Hill,0.49564018216789996,0.0
Presidio Heights,0.81734723991876035,0.0
Russian Hill,1.1454959089602497,0.0
Sherwood Forest,-0.084943770853817671,0.0
Silver Terrace,-0.8266443941503635,0.0
South Beach,1.3418277643376513,1.9023953230103459
South of Market,1.1744108038066987,0.0
Stonestown,0.0,0.0
Sunnyside,0.0,0.0
Telegraph Hill,3.5466981293959199,0.0
Tenderloin,0.0,0.0
Twin Peaks,0.30961710377685714,0.0
Van Ness/Civic Center,1.1318256375673181,0.0
Visitacion Valley,-1.1743036705328191,0.0
West Portal,0.0,0.0
Western Addition,1.3094139734268513,0.0
Westwood Highlands,0.28665251091986743,0.0
Westwood Park,0.0,0.0
Yerba Buena,1.2493153681186955,1.6493754240280682
