Neighborhood,Multiplier
Alamo Square,1
Anza Vista,0.82728999999999997
Bayview,0.77013699999999996
Bayview Heights,0.43078100000000003
Bernal Heights,0.90745799999999999
Buena Vista Park/Ashbury Heights,0.94578300000000004
Candlestick Point,0.38550099999999998
Central Richmond,0.69899500000000003
Central Sunset,0.68224200000000002
Central Waterfront/Dogpatch,0.87473800000000002
Cole Valley/Parnassus Heights,0.87892800000000004
Corona Heights,1.004491
Cow Hollow,0.84295600000000004
Diamond Heights,0.68254700000000001
Downtown,0.82994500000000004
Duboce Triangle,1.144968
Eureka Valley / Dolores Heights,1.039463
Excelsior,0.77349299999999999
Financial District/Barbary Coast,1.287253
Forest Hill,0.65723799999999999
Forest Hills Extension,0.76680199999999998
Glen Park,0.83916999999999997
Golden Gate Heights,0.63853000000000004
Haight Ashbury,0.73241500000000004
Hayes Valley,1.391945
Ingleside,0.55249000000000004
Ingleside Heights,0.763289
Ingleside Terrace,1.340524
Inner Mission,1.0584880000000001
Inner Parkside,0.72379300000000002
Inner Richmond,0.71513199999999999
Inner Sunset,0.94998899999999997
Jordan Park / Laurel Heights,0.98944399999999999
Lake Shore,0.75289300000000003
Lake Street,0.92003999999999997
Lone Mountain,0.99363699999999999
Lower Pacific Heights,1.009935
Marina,0.99732100000000001
Merced Heights,0.69453200000000004
Merced Manor,0.87481500000000001
Midtown Terrace,0.75091399999999997
Miraloma Park,0.72186899999999998
Mission Bay,0.821245
Mission Dolores,1.185567
Mission Terrace,0.71771200000000002
Nob Hill,1.146425
Noe Valley,1.036154
North Beach,1.1754230000000001
North Panhandle,1.115378
North Waterfront,1.172922
Oceanview,0.87266299999999997
Outer Mission,1.7478089999999999
Outer Parkside,0.90473599999999998
Outer Richmond,0.633544
Outer Sunset,0.83849899999999999
Pacific Heights,1.083707
Parkside,0.73915399999999998
Pine Lake Park,0.55279199999999995
Portola,0.63136199999999998
Potrero Hill,0.94976899999999997
Presidio Heights,0.96462800000000004
Russian Hill,1.23105
Sherwood Forest,0.57982900000000004
Silver Terrace,0.72314999999999996
South Beach,0.98792199999999997
South of Market,0.94148500000000002
Stonestown,0.60813499999999998
Sunnyside,0.849298
Telegraph Hill,1.1965969999999999
Tenderloin,1.4706440000000001
Twin Peaks,0.92483000000000004
Van Ness/Civic Center,1.020467
Visitacion Valley,0.42225699999999999
West Portal,0.63648000000000005
Western Addition,0.906169
Westwood Highlands,0.61170199999999997
Westwood Park,0.54151300000000002
Yerba Buena,1.0861240000000001
