Effect,Coefficient
base_rent,0
bedrooms,-51.974201902975061
bathrooms,221.62928637672584
dist_to_park,0
elevation,0.75111598433539573
level,-0.54022387617506284
age,-0.63336598373688024
garage,23.350775678211903
mean square error of residuals,242158.48046230664
