neighborhood,regular,luxurious
Alamo Square,2.1370097676021929,0.0
Anza Vista,1.1996955629186357,0.0
Bayview,0.84620197668083286,0.0
Bernal Heights,1.1431866698584436,0.0
Buena Vista Park/Ashbury Heights,1.0931796502751685,0.0
Central Richmond,1.0302464829060647,0.0
Central Sunset,0.56181460633586711,0.0
Corona Heights,1.6999390401582941,0.0
Cow Hollow,1.8665485705489941,0.0
Crocker Amazon,-0.040086975178888457,0.0
Diamond Heights,0.71867559220064192,0.0
Downtown,1.6330062902789264,1.2619913839476351
Duboce Triangle,1.5905223898718006,3.3290539788509803
Eureka Valley / Dolores Heights,2.2586244511728411,0.0
Excelsior,-0.016745050254401466,0.0
Financial District/Barbary Coast,2.4622781988636815,1.6355060186763786
Yerba Buena,2.2199497691698613,3.3022849174794238
Forest Hill,0.55720396806160077,0.0
Forest Hills Extension,0.42205175077435803,0.0
Glen Park,0.87637977464534877,0.0
Golden Gate Heights,0.69775783446528827,0.0
Golden Gate Park,1.4910397064498875,0.0
Haight Ashbury,1.0611859259033671,0.0
Hayes Valley,2.045299584380285,2.5121533329424133
Ingleside,0.44034085147184537,0.0
Ingleside Heights,0.30595168059381261,0.0
Ingleside Terrace,1.3660506546353111,0.0
Inner Mission,1.8211599675658019,2.093154961172262
Inner Parkside,0.62482543691906367,0.0
Inner Richmond,1.0538229391824412,0.0
Inner Sunset,1.3716626711970235,0.0
Jordan Park / Laurel Heights,1.700217374059638,0.0
Lake Street,1.1560364101060607,0.0
Lake Shore,0.74960927906962049,0.0
Lakeside,0.54674083010570351,0.0
Lone Mountain,1.3969551494970329,0.0
Lower Pacific Heights,2.3101063995722231,0.0
Marina,2.2388701632760184,0.0
Merced Heights,0.23306203039304785,0.0
Merced Manor,0.99281397101459945,0.0
Midtown Terrace,-0.18028721322281527,0.0
Miraloma Park,0.23906198730402931,0.0
Mission Bay,2.6294104921010235,0.0
Mission Dolores,2.5410604004729831,0.0
Mission Terrace,0.78902601373578274,0.0
Noe Valley,1.6750633360105529,0.0
North Beach,2.1201523794832955,0.0
North Panhandle,1.3561330350750591,0.0
North Waterfront,2.2152234593214435,0.0
Oceanview,0.23733442662617174,0.0
Outer Mission,0.19881436331081703,0.0
Outer Parkside,0.98271998463642773,0.0
Outer Richmond,0.89223259845626368,0.0
Outer Sunset,1.016534445533436,0.0
Pacific Heights,1.780951808412452,0.0
Parkside,0.27208289055686741,0.0
Cole Valley/Parnassus Heights,1.2957581825750233,0.0
Pine Lake Park,0.78194292287108003,0.0
Portola,0.46672300881466483,0.0
Potrero Hill,1.6036700084333289,0.0
Presidio,1.3418986381497791,0.0
Presidio Heights,1.8419181606358919,0.0
Russian Hill,2.3799691684621114,2.0401364049050579
Silver Terrace,0.53210348488178105,0.0
South Beach,2.1899758223508505,2.5169969944855271
South of Market,2.2645416243850289,2.3550279760671313
Stonestown,0.95035073958122618,0.0
Sunnyside,1.0371281242521735,0.0
Telegraph Hill,3.5900261239477369,0.0
Twin Peaks,0.73747216818640127,0.0
Van Ness/Civic Center,1.993297435417438,1.3277949188506768
Visitacion Valley,-0.24775235369852963,0.0
West Portal,1.0643784964069372,0.0
Western Addition,1.6267569291105304,0.0
Westwood Highlands,0.17469287905387373,0.0
Westwood Park,0.40833332929822985,0.0
Sherwood Forest,0.097213602269581798,0.0
Tenderloin,2.6100063875093835,0.0
Central Waterfront/Dogpatch,1.8105606205333853,0.0
Candlestick Point,0.052945634803819704,0.0
Bayview Heights,-0.47999013599117679,0.0
Nob Hill,2.0747681447010873,0.0
