Neighborhood,Multiplier
Pine Lake Park,0.37240699999999999
Candlestick Point,0.38550099999999998
Silver Terrace,0.49233100000000002
Bayview Heights,0.52004399999999995
Westwood Park,0.54151300000000002
Ingleside,0.55249000000000004
Visitacion Valley,0.56203099999999995
Golden Gate Heights,0.56793000000000005
Sherwood Forest,0.57982900000000004
Diamond Heights,0.59995699999999996
Stonestown,0.60813499999999998
Westwood Highlands,0.61170199999999997
Ingleside Heights,0.62245799999999996
West Portal,0.63648000000000005
Portola,0.65933600000000003
Outer Richmond,0.66596200000000005
Merced Heights,0.69453200000000004
Inner Parkside,0.69970500000000002
Central Richmond,0.70175799999999999
Miraloma Park,0.706376
Parkside,0.70692999999999995
Forest Hill,0.70715399999999995
Bayview,0.710839
Mission Terrace,0.712812
Inner Richmond,0.71513199999999999
Central Sunset,0.72380199999999995
Haight Ashbury,0.73241500000000004
Excelsior,0.75658199999999998
Lake Shore,0.76408299999999996
Forest Hills Extension,0.78172200000000003
Mission Bay,0.78920999999999997
Anza Vista,0.82728999999999997
Glen Park,0.83916999999999997
Sunnyside,0.849298
Downtown,0.85028999999999999
Outer Parkside,0.85795900000000003
Western Addition,0.86414100000000005
Oceanview,0.87266299999999997
Cole Valley/Parnassus Heights,0.87892800000000004
Buena Vista Park/Ashbury Heights,0.88853199999999999
Central Waterfront/Dogpatch,0.91359299999999999
Lake Street,0.92003999999999997
Van Ness/Civic Center,0.92007099999999997
South of Market,0.93023
Bernal Heights,0.93653699999999995
Marina,0.94343100000000002
Inner Sunset,0.94998899999999997
Potrero Hill,0.95772000000000002
South Beach,0.96363500000000002
Lone Mountain,0.96800799999999998
Cow Hollow,0.97350199999999998
Jordan Park / Laurel Heights,0.98944399999999999
Twin Peaks,1.007172
Eureka Valley / Dolores Heights,1.024006
Lower Pacific Heights,1.0346759999999999
Corona Heights,1.03993
Yerba Buena,1.0448500000000001
Noe Valley,1.058041
Inner Mission,1.0647180000000001
Pacific Heights,1.06762
Outer Sunset,1.0691740000000001
Telegraph Hill,1.091674
Nob Hill,1.1569160000000001
North Panhandle,1.1690229999999999
North Waterfront,1.172922
North Beach,1.182939
Duboce Triangle,1.189837
Russian Hill,1.245188
Mission Dolores,1.2692220000000001
Ingleside Terrace,1.340524
Financial District/Barbary Coast,1.4102969999999999
Hayes Valley,1.4703200000000001
Tenderloin,1.4706440000000001
Outer Mission,1.7478089999999999
Alamo Square,1
