Effect,Coefficient
base_rent,0
bedrooms,470.92759566383899
bathrooms,580.82696694971798
elevation,9.2002297813578782
level,20.713783168130615
age,5.9633942341418242
garage,628.63301257316573
mean square error of residuals,690851.0733839639
